Vial#,Isolate1,Isolate2,Rep,random,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_tam,inoc_tam_percent,percent_change_tam,aflatoxin_ppb,type,percent_decrease_aflatoxin
1,AZT21S02-C,AF13,A,3,3385.072824,3441.709311,3413.391068,22807.79731,22767.93101,22787.86416,86.97241396,74.41124826,12.56116571,13290,competition,98.34975166
2,AZT21S02-C,AF13,B,9,2446.064603,2378.616758,2412.340681,17125.04303,16718.16075,16921.60189,87.52276898,74.41124826,13.11152072,38400,competition,95.23178808
3,AZT21S02-C,AF13,C,11,4058.383049,4000.166697,4029.274873,17161.77391,16832.54898,16997.16145,80.83710044,74.41124826,6.42585218,72400,competition,91.00993377
4,AZT21S02-C,Water,A,1,0,0,0,58113.01212,56101.18833,57107.10023,100,,,1.1,single,
5,AZT21S20-F,AF13,A,25,5355.447559,5392.909545,5374.178552,5018.877955,4922.370681,4970.624318,48.04948321,63.7524025,-15.70291929,296500,competition,63.18294702
6,AZT21S20-F,AF13,B,39,12706.97567,12597.37406,12652.17487,5275.010586,5327.12849,5301.069538,29.5270839,63.7524025,-34.2253186,488000,competition,39.40397351
7,AZT21S20-F,AF13,C,27,17849.76751,18257.48117,18053.62434,10095.1807,10264.37768,10179.77919,36.05579887,63.7524025,-27.69660363,349500,competition,56.60182119
8,AZT21S20-F,Water,A,31,0,0,0,18689.63101,17748.40795,18219.01948,100,,,0.7,single,
9,SIL21M32-E,AF13,A,7,7237.706401,6668.908328,6953.307365,27902.79112,26649.63755,27276.21434,79.68622692,55.42666612,24.2595608,56000,competition,93.04635762
10,SIL21M32-E,AF13,B,38,7504.837752,7423.634637,7464.236195,12575.79825,12381.15481,12478.47653,62.5716105,55.42666612,7.144944386,213000,competition,73.5513245
11,SIL21M32-E,AF13,C,21,3987.347048,3968.444637,3977.895843,12139.79643,12497.7236,12318.76002,75.59072317,55.42666612,20.16405705,105000,competition,86.96192053
12,SIL21M32-E,Water,A,17,0,0,0,36559.77841,34374.79735,35467.28788,100,,,3.8,single,
13,CAT22S01-C,AF13,A,15,7686.611696,7670.225732,7678.418714,7955.287571,7945.473037,7950.380304,50.87006554,66.26682399,-15.39675845,173000,competition,78.51821192
14,CAT22S01-C,AF13,B,40,7284.67497,6956.971079,7120.823025,10460.59753,9946.136626,10203.36708,58.89664693,66.26682399,-7.370177066,520500,competition,35.36837748
15,CAT22S01-C,AF13,C,37,6519.412547,6456.838391,6488.125469,16116.48537,15140.42322,15628.4543,70.66397455,66.26682399,4.397150552,174000,competition,78.39403974
16,CAT22S01-C,Water,A,36,0,0,0,25324.17508,25139.98942,25232.08225,100,,,2,single,
17,CAT22L13-L1-B,AF13,A,32,15333.69028,15862.6674,15598.17884,6004.705496,5961.650423,5983.17796,27.7238267,56.24295759,-28.51913088,411000,competition,48.96523179
18,CAT22L13-L1-B,AF13,B,24,27025.41961,25010.47917,26017.94939,4685.198693,4713.853077,4699.525885,15.29919319,56.24295759,-40.9437644,531500,competition,34.00248344
19,CAT22L13-L1-B,AF13,C,16,12714.48005,12112.60544,12413.54275,5056.003524,5005.632146,5030.817835,28.83922178,56.24295759,-27.40373581,378500,competition,53.00082781
20,CAT22L13-L1-B,Water,A,13,0,0,0,18213.83214,18497.13948,18355.48581,100,,,2,single,
21,CAT22S16-M,AF13,A,29,5395.0141,5463.495288,5429.254694,9604.848406,9691.874306,9648.361356,63.99129228,63.94843636,0.042855921,172500,competition,78.58029801
22,CAT22S16-M,AF13,B,6,6478.861761,6748.919974,6613.890868,17120.99919,17214.72079,17167.85999,72.18921808,63.94843636,8.240781718,76500,competition,90.50082781
