Vial#,Isolate1,Isolate2,Rep,random,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_tam,inoc_tam_percent,percent_change_tam
1,AZT21S02-C,AF13,A,3,284.5429352,249.5588786,267.0509069,1036.606478,1114.796119,1075.701298,80.11167616,74.41124826,5.700427904
2,AZT21S02-C,AF13,B,9,974.8451805,822.0449651,898.4450728,1271.198298,1161.765106,1216.481702,57.51885676,74.41124826,-16.8923915
3,AZT21S02-C,AF13,C,11,942.7484206,648.5310735,795.639747,1366.996988,1049.138816,1208.067902,60.291625,74.41124826,-14.11962326
4,AZT21S02-C,Water,A,1,0,0,0,2598.926691,2078.591958,2338.759324,100,,
5,AZT21S20-F,AF13,A,25,1975.91028,1675.872546,1825.891413,1324.27053,1094.151811,1209.211171,39.84086657,63.7524025,-23.91153593
6,AZT21S20-F,AF13,B,39,2635.159813,2185.464075,2410.311944,1276.634154,1016.604342,1146.619248,32.23619424,63.7524025,-31.51620826
7,AZT21S20-F,AF13,C,27,2311.721462,1894.031124,2102.876293,802.0748154,530.6516254,666.3632204,24.06304031,63.7524025,-39.68936219
8,AZT21S20-F,Water,A,31,0,0,0,2471.486084,1636.983669,2054.234877,100,,
9,SIL21M32-E,AF13,A,7,1712.464099,1076.25612,1394.36011,2628.914363,1917.828415,2273.371389,61.98303747,55.42666612,6.556371354
10,SIL21M32-E,AF13,B,38,2405.925682,2068.788327,2237.357005,1901.064554,1654.070347,1777.56745,44.27399495,55.42666612,-11.15267117
11,SIL21M32-E,AF13,C,21,1631.967143,1406.497398,1519.23227,1731.868852,1350.687835,1541.278344,50.36016985,55.42666612,-5.066496266
12,SIL21M32-E,Water,A,17,0,0,0,2874.344355,2287.662764,2581.00356,100,,
13,CAT22S01-C,AF13,A,15,1976.165641,1691.126576,1833.646108,1126.567288,965.9865816,1046.276935,36.33003101,66.26682399,-29.93679298
14,CAT22S01-C,AF13,B,40,2286.107766,1829.418025,2057.762895,1050.63741,912.2226505,981.4300305,32.29245574,66.26682399,-33.97436825
15,CAT22S01-C,AF13,C,37,1459.168468,1328.724986,1393.946727,1750.859726,1569.584056,1660.221891,54.35920863,66.26682399,-11.90761537
16,CAT22S01-C,Water,A,36,0,0,0,2450.475836,1929.459645,2189.96774,100,,
17,CAT22L13-L1-B,AF13,A,32,3405.669198,2685.286115,3045.477657,307.3862043,257.5413388,282.4637716,8.487642516,56.24295759,-47.75531507
18,CAT22L13-L1-B,AF13,B,24,4423.276972,3814.08273,4118.679851,195.9433702,122.8575603,159.4004653,3.725981129,56.24295759,-52.51697646
19,CAT22L13-L1-B,AF13,C,16,6968.799482,5759.809476,6364.304479,533.8328026,459.8108262,496.8218144,7.241111636,56.24295759,-49.00184595
20,CAT22L13-L1-B,Water,A,13,0,0,0,1857.091751,1559.287306,1708.189528,100,,
21,CAT22S16-M,AF13,A,29,1604.153169,1193.770348,1398.961758,1213.279367,940.9301302,1077.104749,43.50063884,63.94843636,-20.44779752
22,CAT22S16-M,AF13,B,6,1471.761213,1065.859961,1268.810587,1217.847945,965.0910764,1091.469511,46.24321968,63.94843636,-17.70521668
23,CAT22S16-M,AF13,C,35,684.4430959,649.6012727,667.0221843,928.5467845,791.2810188,859.9139017,56.31629965,63.94843636,-7.63213671
24,CAT22S16-M,Water,A,41,0,0,0,1803.423131,1637.955478,1720.689304,100,,
25,19TXTS01-A,AF13,A,33,4267.991822,3921.07778,4094.534801,1180.940939,883.1989269,1032.069933,20.13164632,53.43756303,-33.30591672
26,19TXTS01-A,AF13,B,34,7309.867901,5335.988479,6322.92819,1118.474256,842.0826049,980.2784302,13.4225756,53.43756303,-40.01498743
27,19TXTS01-A,AF13,C,4,4861.324251,3929.018065,4395.171158,650.4241593,469.2730984,559.8486289,11.2986154,53.43756303,-42.13894763
28,19TXTS01-A,Water,A,18,0,0,0,1666.070068,1424.986803,1545.528435,100,,
29,19TXTS62-A,AF13,A,42,2662.030621,2210.743,2436.38681,1874.250146,1671.830783,1773.040464,42.12070547,64.39334225,-22.27263678
30,19TXTS62-A,AF13,B,12,2911.651229,2227.531306,2569.591268,1698.265525,1393.206923,1545.736224,37.56046699,64.39334225,-26.83287526
31,19TXTS62-A,AF13,C,5,3107.171814,2186.923685,2647.047749,898.4284009,637.155141,767.7917709,22.48397813,64.39334225,-41.90936412
32,19TXTS62-A,Water,A,28,0,0,0,2541.971887,2094.918595,2318.445241,100,,
33,19TXTS22-M,AF13,A,30,4746.278979,4428.571344,4587.425161,1661.60288,1622.507776,1642.055328,26.35942645,72.97567628,-46.61624983
34,19TXTS22-M,AF13,B,23,3626.036474,3054.909176,3340.472825,1256.053303,1035.464621,1145.758962,25.53945085,72.97567628,-47.43622544
35,19TXTS22-M,AF13,C,2,2648.340953,2387.713617,2518.027285,1047.067168,964.1148141,1005.590991,28.53859051,72.97567628,-44.43708577
36,19TXTS22-M,Water,A,10,0,0,0,2022.428392,1588.320596,1805.374494,100,,
37,Water,AF13,A,22,8633.412756,7827.310592,8230.361674,0,0,0,0,,
38,Water,AF13,B,14,13732.90743,10101.76665,11917.33704,0,0,0,0,,
39,Water,AF13,C,26,11598.03204,8907.272118,10252.65208,0,0,0,0,,
