Vial#,Isolate1,Isolate2,Rep,random,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_tam,inoc_tam_percent,percent_change_tam,aflatoxin_ppb,type,percent_decrease_aflatoxin
1,AZT21S02-C,AF13,A,11,127990.5609,131144.2299,129567.3954,131909.6765,135769.1999,133839.4382,50.81092103,89.41998336,-38.60906233,124000,competition,73.98237516
2,AZT21S02-C,AF13,B,22,177324.3818,182743.9611,180034.1715,240981.931,253920.6874,247451.3092,57.88531316,89.41998336,-31.5346702,61200,competition,87.15904322
3,AZT21S02-C,AF13,C,7,277318.9322,262622.7917,269970.862,158021.9959,142021.1695,150021.5827,35.72006702,89.41998336,-53.69991634,261200,competition,45.19513219
4,AZT21S02-C,Water,A,21,0,0,0,141710.597,149059.7075,145385.1523,100,,,5.5,single,
5,AZT21S20-F,AF13,A,42,268691.6325,272897.1723,270794.4024,2711.666872,2883.375313,2797.521093,1.022515963,90.03009809,-89.00758212,372000,competition,21.94712547
6,AZT21S20-F,AF13,B,24,259611.1892,210000.2304,234805.7098,106412.823,67540.1065,86976.46476,27.02960936,90.03009809,-63.00048873,163600,competition,65.67352077
7,AZT21S20-F,AF13,C,16,172472.3072,163576.774,168024.5406,66551.56145,53859.83921,60205.70033,26.37937027,90.03009809,-63.65072782,191200,competition,59.88250105
8,AZT21S20-F,Water,A,1,0,0,0,59363.66206,58527.30976,58945.48591,100,,,5.5,single,
9,SIL21M32-E,AF13,A,34,159186.611,164415.18,161800.8955,110503.3858,102459.8533,106481.6195,39.69010784,88.8400146,-49.14990676,84800,competition,82.20730172
10,SIL21M32-E,AF13,B,38,215678.5584,166982.5338,191330.5461,161447.0398,115266.5546,138356.7972,41.9660627,88.8400146,-46.8739519,91600,competition,80.78052875
11,SIL21M32-E,AF13,C,9,154998.4644,152359.3239,153678.8942,161699.6381,153673.7196,157686.6789,50.64358187,88.8400146,-38.19643273,107600,competition,77.42341586
12,SIL21M32-E,Water,A,4,0,0,0,263044.341,261856.752,262450.5465,100,,,6.7,single,
13,CAT22S01-C,AF13,A,20,100130.8782,114215.7541,107173.3162,274442.4869,286899.8165,280671.1517,72.36693441,89.77423675,-17.40730233,52800,competition,88.92152749
14,CAT22S01-C,AF13,B,40,236304.8654,229349.8678,232827.3666,149193.5509,137494.5583,143344.0546,38.10604595,89.77423675,-51.6681908,137600,competition,71.12882921
15,CAT22S01-C,AF13,C,3,309086.9311,308086.309,308586.62,111117.9449,123623.9203,117370.9326,27.55460771,89.77423675,-62.21962904,171600,competition,63.99496433
16,CAT22S01-C,Water,A,14,0,0,0,172361.1481,172074.186,172217.667,100,,,22,single,
17,CAT22L13-L1-B,AF13,A,28,57804.92957,58999.36831,58402.14894,177665.5599,173529.9832,175597.7716,75.04180821,82.9008568,-7.859048588,41200,competition,91.35543433
18,CAT22L13-L1-B,AF13,B,12,132570.5728,119060.6036,125815.5882,280117.4045,262470.1711,271293.7878,68.3171449,82.9008568,-14.5837119,57600,competition,87.91439362
19,CAT22L13-L1-B,AF13,C,33,83442.54436,66945.22087,75193.88261,185005.1774,169499.5165,177252.347,70.2139015,82.9008568,-12.68695531,48800,competition,89.76080571
20,CAT22L13-L1-B,Water,A,29,0,0,0,294735.6213,287657.1054,291196.3633,100,,,32.4,single,
21,CAT22S16-M,AF13,A,19,71502.70155,88526.5061,80014.60382,10553.23944,15721.69231,13137.46588,14.10324636,76.24538382,-62.14213747,244400,competition,48.72010071
22,CAT22S16-M,AF13,B,35,219465.3139,239102.3593,229283.8366,27144.13566,34906.54772,31025.34169,11.9186507,76.24538382,-64.32673313,298000,competition,37.47377256
23,CAT22S16-M,AF13,C,27,173163.5739,164518.9369,168841.2554,234656.0037,218775.7055,226715.8546,57.3155807,76.24538382,-18.92980312,126000,competition,73.56273605
24,CAT22S16-M,Water,A,31,0,0,0,241856.9363,250839.3161,246348.1262,100,,,5.3,single,
25,19TXTS01-A,AF13,A,30,127804.9765,129168.4413,128486.7089,48713.34265,46216.33126,47464.83696,26.97608409,85.16620917,-58.19012508,134400,competition,71.80025178
26,19TXTS01-A,AF13,B,41,207826.4985,208888.7499,208357.6242,34896.0316,39100.29962,36998.16561,15.07939374,85.16620917,-70.08681543,172400,competition,63.82710869
27,19TXTS01-A,AF13,C,5,409382.8853,324423.354,366903.1196,113141.9803,73625.15887,93383.56958,20.28813167,85.16620917,-64.8780775,208000,competition,56.35753252
28,19TXTS01-A,Water,A,6,0,0,0,260481.1632,254662.5368,257571.85,100,,,9.4,single,
29,19TXTS62-A,AF13,A,2,267592.7712,266078.8136,266835.7924,242665.2671,233743.7316,238204.4994,47.16544467,88.09344807,-40.9280034,186000,competition,60.97356274
30,19TXTS62-A,AF13,B,8,71319.11682,76759.26372,74039.19027,50259.68128,53849.02021,52054.35074,41.28232923,88.09344807,-46.81111883,106400,competition,77.67519933
31,19TXTS62-A,AF13,C,37,401685.6454,321605.7785,361645.712,13236.13726,1870.544429,7553.340845,2.045872217,88.09344807,-86.04757585,358000,competition,24.88459924
32,19TXTS62-A,Water,A,39,0,0,0,148000.3086,150830.0684,149415.1885,100,,,6.7,single,
33,19TXTS22-M,AF13,A,32,187558.1057,244356.4165,215957.2611,58252.80643,91048.7624,74650.78442,25.68778999,87.38249896,-61.69470897,212000,competition,55.5182543
34,19TXTS22-M,AF13,B,18,267499.1003,324665.6848,296082.3925,99336.26435,150707.0373,125021.6508,29.68901696,87.38249896,-57.693482,264400,competition,44.52370961
35,19TXTS22-M,AF13,C,13,203649.1591,194920.7895,199284.9743,147535.915,144883.4818,146209.6984,42.31894439,87.38249896,-45.06355457,157600,competition,66.9324381
36,19TXTS22-M,Water,A,17,0,0,0,225334.6554,234909.4542,230122.0548,100,,,15.4,single,
37,Water,AF13,A,26,124668.8411,172562.4851,148615.6631,0,0,0,0,,,447000,flavus_control,
38,Water,AF13,B,10,382000.8134,252278.4612,317139.6373,0,0,0,0,,,451200,flavus_control,
39,Water,AF13,C,15,362608.7227,282895.3515,322752.0371,0,0,0,0,,,531600,flavus_control,
40,Water,Water,A,23,0,0,0,0,0,0,0,,,3.1,,
41,Water,Water,B,36,0,0,0,0,0,0,0,,,8.3,,
42,Water,Water,C,25,0,0,0,0,0,0,0,,,5.8,,
