Vial#,Isolate1,Isolate2,Rep,random,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_tam,inoc_tam_percent,percent_change_tam
1,AZT21S02-C,AF13,A,11,5830.020588,5556.894191,5693.45739,2141.324548,2090.101126,2115.712837,27.09267151,89.41998336,-62.32731185
2,AZT21S02-C,AF13,B,22,3178.826802,3292.537559,3235.682181,3298.801104,3267.671906,3283.236505,50.36474089,89.41998336,-39.05524247
3,AZT21S02-C,AF13,C,7,386.0911234,362.8098216,374.4504725,147.1170765,127.4621542,137.2896153,26.82799699,89.41998336,-62.59198638
4,AZT21S02-C,Water,A,21,0,0,0,2470.406931,2393.817925,2432.112428,100,,
5,AZT21S20-F,AF13,A,42,3029.487731,2942.125125,2985.806428,836.9631465,766.9350018,801.9490741,21.17214466,90.03009809,-68.85795343
6,AZT21S20-F,AF13,B,24,1070.02236,1049.315897,1059.669129,458.1124353,490.9105353,474.5114853,30.92931048,90.03009809,-59.10078761
7,AZT21S20-F,AF13,C,16,3417.781272,3403.337935,3410.559604,1796.267658,1718.328899,1757.298279,34.00438477,90.03009809,-56.02571332
8,AZT21S20-F,Water,A,1,0,0,0,2968.056758,2853.336307,2910.696533,100,,
9,SIL21M32-E,AF13,A,34,2601.502708,2548.523025,2575.012866,2579.610756,2477.477477,2528.544117,49.54474155,88.8400146,-39.29527305
10,SIL21M32-E,AF13,B,38,2395.92728,2274.767307,2335.347294,2601.011922,2536.228535,2568.620229,52.37841028,88.8400146,-36.46160432
11,SIL21M32-E,AF13,C,9,1066.933986,1040.605608,1053.769797,744.9289086,665.4085911,705.1687499,40.09058481,88.8400146,-48.74942979
12,SIL21M32-E,Water,A,4,0,0,0,2435.867777,2254.95899,2345.413383,100,,
13,CAT22S01-C,AF13,A,20,1476.118821,1548.557822,1512.338321,2314.616731,2334.377128,2324.49693,60.58370448,89.77423675,-29.19053227
14,CAT22S01-C,AF13,B,40,1977.350294,1950.301284,1963.825789,2558.757692,2362.247392,2460.502542,55.6130187,89.77423675,-34.16121805
15,CAT22S01-C,AF13,C,3,2610.790014,2408.186632,2509.488323,1618.499752,1592.049288,1605.27452,39.01256479,89.77423675,-50.76167196
16,CAT22S01-C,Water,A,14,0,0,0,4347.886263,4052.507794,4200.197028,100,,
17,CAT22L13-L1-B,AF13,A,28,914.8747614,1005.492209,960.1834854,1809.97382,1785.146704,1797.560262,65.1822804,82.9008568,-17.71857641
18,CAT22L13-L1-B,AF13,B,12,1945.048465,1661.630126,1803.339296,2638.573936,2512.147673,2575.360804,58.81564723,82.9008568,-24.08520957
19,CAT22L13-L1-B,AF13,C,33,452.9113866,529.8163047,491.3638456,1773.418587,1745.82764,1759.623114,78.17118204,82.9008568,-4.729674764
20,CAT22L13-L1-B,Water,A,29,0,0,0,998.1082211,1048.246365,1023.177293,100,,
21,CAT22S16-M,AF13,A,19,2221.976506,2228.150731,2225.063619,563.5718156,509.8018583,536.686837,19.43285049,76.24538382,-56.81253333
22,CAT22S16-M,AF13,B,35,3694.800908,3893.696463,3794.248686,1490.656578,1610.623956,1550.640267,29.0116461,76.24538382,-47.23373773
23,CAT22S16-M,AF13,C,27,4226.533853,4486.511425,4356.522639,2385.7896,2594.848566,2490.319083,36.37179278,76.24538382,-39.87359104
24,CAT22S16-M,Water,A,31,0,0,0,2858.992908,2970.041452,2914.51718,100,,
25,19TXTS01-A,AF13,A,30,4144.769865,4084.404551,4114.587208,3562.697674,3521.082513,3541.890094,46.26004825,85.16620917,-38.90616092
26,19TXTS01-A,AF13,B,41,2939.155512,3023.078169,2981.11684,3364.637393,3289.149285,3326.893339,52.74077315,85.16620917,-32.42543602
27,19TXTS01-A,AF13,C,5,1146.245831,1240.218135,1193.231983,665.583721,694.3155786,679.9496498,36.29918412,85.16620917,-48.86702505
28,19TXTS01-A,Water,A,6,0,0,0,2977.600498,2884.260495,2930.930496,100,,
29,19TXTS62-A,AF13,A,2,3538.479067,3467.084458,3502.781763,1222.134693,1217.184415,1219.659554,25.8268864,88.09344807,-62.26656166
30,19TXTS62-A,AF13,B,8,3506.94685,3324.532181,3415.739515,2195.269443,1957.666313,2076.467878,37.80752854,88.09344807,-50.28591952
31,19TXTS62-A,AF13,C,37,4039.877467,4224.418644,4132.148055,1522.102889,1560.012144,1541.057517,27.16378769,88.09344807,-60.92966038
32,19TXTS62-A,Water,A,39,0,0,0,2833.559682,2881.583482,2857.571582,100,,
33,19TXTS22-M,AF13,A,32,3775.400418,3958.723797,3867.062107,2379.505828,2301.390105,2340.447966,37.70349043,87.38249896,-49.67900853
34,19TXTS22-M,AF13,B,18,6302.134776,6627.757885,6464.94633,1841.48378,1739.025962,1790.254871,21.68638689,87.38249896,-65.69611207
35,19TXTS22-M,AF13,C,13,4983.300689,5100.738676,5042.019682,1184.041684,1222.271302,1203.156493,19.26537314,87.38249896,-68.11712582
36,19TXTS22-M,Water,A,17,0,0,0,2954.455737,2736.053035,2845.254386,100,,
37,Water,AF13,A,26,4885.156444,5352.576123,5118.866284,0,0,0,0,,
38,Water,AF13,B,10,4526.844198,4216.251337,4371.547768,0,0,0,0,,
39,Water,AF13,C,15,5236.207778,5550.717162,5393.46247,0,0,0,0,,
