Vial#,Isolate1,Isolate2,Rep,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_flav,inoc_flav_percent,percent_change_flav,aflatoxin_ppb,type,percent_decrease_aflatoxin
1,EB01,AZT21S02-C,A,61238.42799,57745.45659,59491.94229,49806.36682,49030.43953,49418.40317,54.6246934,43.89602275,10.72867065,22400,competition,88.95463511
2,EB01,AZT21S02-C,B,26453.55851,26351.78566,26402.67208,14105.34509,13936.0686,14020.70684,65.31535162,43.89602275,21.41932887,31050,competition,84.68934911
3,EB01,AZT21S02-C,C,28158.40681,28650.77554,28404.59117,33498.51469,33520.71511,33509.6149,45.87734055,43.89602275,1.981317801,22500,competition,88.90532544
4,EB01,Water,A,163972.4308,168197.3846,166084.9077,0,0,0,100,,,202800,single,
5,DV901,AZT21S02-C,A,19646.80116,19807.3989,19727.10003,29308.84656,30270.27681,29789.56168,39.83931741,29.61959114,10.21972627,3952,competition,98.48582375
6,DV901,AZT21S02-C,B,12487.36115,12162.55087,12324.95601,66209.74585,67622.40227,66916.07406,15.55375542,29.61959114,-14.06583572,1264,competition,99.51570881
7,DV901,AZT21S02-C,C,13979.39342,14932.70855,14456.05098,40287.33171,48115.29322,44201.31246,24.64490413,29.61959114,-4.974687013,11000,competition,95.78544061
8,DV901,Water,A,223710.4422,226164.8962,224937.6692,0,0,0,100,,,261000,single,
9,BA12-J,AZT21S02-C,A,14579.14118,14280.85558,14429.99838,23836.24714,23313.60811,23574.92763,37.96875799,20.87795444,17.09080355,4296,competition,80.56108597
10,BA12-J,AZT21S02-C,B,38037.46948,36241.43244,37139.45096,41943.02027,39018.71451,40480.86739,47.84758907,20.87795444,26.96963463,1988,competition,91.00452489
11,BA12-J,AZT21S02-C,C,33169.40526,32849.14795,33009.27661,55050.88576,53085.30622,54068.09599,37.90798416,20.87795444,17.03002972,392,competition,98.22624434
12,BA12-J,Water,A,88134.50302,74713.76772,81424.13537,0,0,0,100,,,22100,single,
13,SIL21M31-L,AZT21S02-C,A,37916.99328,35642.52,36779.75664,19478.91991,18034.66229,18756.7911,66.22622064,21.99273945,44.23348119,11300,competition,92.52645503
14,SIL21M31-L,AZT21S02-C,B,25619.63288,18397.12022,22008.37655,22351.40989,15694.47904,19022.94447,53.63799167,21.99273945,31.64525223,8580,competition,94.32539683
15,SIL21M31-L,AZT21S02-C,C,38362.16039,37557.17268,37959.66654,59855.72247,57983.50495,58919.61371,39.1824407,21.99273945,17.18970126,7120,competition,95.29100529
16,SIL21M31-L,Water,A,233945.9477,230216.2955,232081.1216,0,0,0,100,,,151200,single,
17,AF13,AZT21S02-C,A,17024.10798,19046.2197,18035.16384,32280.33662,33904.34897,33092.34279,35.27487458,37.76049829,-2.485623711,50200,competition,89.43602694
18,AF13,AZT21S02-C,B,22793.83593,22895.5905,22844.71321,31513.1717,32227.09728,31870.13449,41.7523107,37.76049829,3.991812412,10800,competition,97.72727273
19,AF13,AZT21S02-C,C,15201.14534,15116.91398,15159.02966,34938.91689,35787.82956,35363.37322,30.00456984,37.76049829,-7.75592845,6680,competition,98.59427609
20,AF13,Water,A,131215.2336,134069.7252,132642.4794,0,0,0,100,,,475200,single,
21,V-MR17,AZT21S02-C,A,18020.57753,18677.31561,18348.94657,28011.34195,29674.08448,28842.71321,38.88175719,36.07773664,2.804020547,3188,competition,95.57222222
22,V-MR17,AZT21S02-C,B,14562.14379,15926.36109,15244.25244,18847.60438,20219.14548,19533.37493,43.83350329,36.07773664,7.755766654,1596,competition,97.78333333
23,V-MR17,AZT21S02-C,C,29016.1649,27454.36108,28235.26299,56199.63537,53756.32673,54977.98105,33.93121289,36.07773664,-2.146523752,2100,competition,97.08333333
24,V-MR17,Water,A,225562.491,194878.5247,210220.5079,0,0,0,100,,,72000,single,
25,CAT22S01-B,AZT21S02-C,A,7472.354619,7779.217844,7625.786232,11357.30683,11876.45583,11616.88133,39.62956907,30.65635938,8.973209687,8.5,competition,
