Vial#,Isolate1,Isolate2,Rep,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_flav,inoc_flav_percent,percent_change_flav
1,EB01,AZT21S02-C,A,399.2619337,367.0147335,383.1383336,1160.844604,1211.127528,1185.986066,24.41733325,43.89602275,-19.47868951
2,EB01,AZT21S02-C,B,447.0214094,524.2829888,485.6521991,953.4422655,1162.305373,1057.873819,31.46381683,43.89602275,-12.43220592
3,EB01,AZT21S02-C,C,698.6155737,740.5267229,719.5711483,1831.304649,1926.104007,1878.704328,27.69418235,43.89602275,-16.20184041
4,EB01,Water,A,422.4740986,393.790553,408.1323258,0,0,0,100,,
5,DV901,AZT21S02-C,A,157.8760211,168.9628748,163.4194479,876.2452382,933.7180111,904.9816246,15.29570235,29.61959114,-14.32388879
6,DV901,AZT21S02-C,B,115.7729159,170.1241911,142.9485535,1051.79886,1076.71424,1064.25655,11.84128141,29.61959114,-17.77830973
7,DV901,AZT21S02-C,C,53.40306978,44.38493337,48.89400157,394.6488108,414.2689455,404.4588781,10.78497651,29.61959114,-18.83461463
8,DV901,Water,A,818.9715665,875.6054202,847.2884934,0,0,0,100,,
9,BA12-J,AZT21S02-C,A,300.968761,282.2432214,291.6059912,1215.214626,1151.013715,1183.114171,19.77364918,20.87795444,-1.104305254
10,BA12-J,AZT21S02-C,B,84.64984071,23.65727219,54.15355645,787.5217,820.3747403,803.9482201,6.310854718,20.87795444,-14.56709972
11,BA12-J,AZT21S02-C,C,284.5740412,266.782246,275.6781436,1358.946082,1329.765763,1344.355923,17.01681152,20.87795444,-3.861142917
12,BA12-J,Water,A,240.9009552,195.1863462,218.0436507,0,0,0,100,,
13,SIL21M31-L,AZT21S02-C,A,394.4940048,516.2859577,455.3899813,1426.79909,1256.224388,1341.511739,25.34306557,21.99273945,3.350326128
14,SIL21M31-L,AZT21S02-C,B,469.5369254,539.4517861,504.4943558,945.5028441,1068.247135,1006.874989,33.37995159,21.99273945,11.38721214
15,SIL21M31-L,AZT21S02-C,C,247.3896358,226.6071659,236.9984008,868.6333671,847.8687923,858.2510797,21.63875948,21.99273945,-0.353979962
16,SIL21M31-L,Water,A,956.3148201,1234.38935,1095.352085,0,0,0,100,,
17,AF13,AZT21S02-C,A,441.4642988,435.3254322,438.3948655,1236.639341,1286.805165,1261.722253,25.78615677,37.76049829,-11.97434152
18,AF13,AZT21S02-C,B,258.8037584,312.8410726,285.8224155,688.86341,702.1700385,695.5167243,29.12575316,37.76049829,-8.634745133
19,AF13,AZT21S02-C,C,189.4136753,107.0465443,148.2301098,724.7084618,771.7433164,748.2258891,16.53512386,37.76049829,-21.22537443
20,AF13,Water,A,2686.751716,2733.858195,2710.304956,0,0,0,100,,
21,V-MR17,AZT21S02-C,A,222.0417203,198.6119441,210.3268322,859.4093041,1139.392527,999.4009154,17.38629478,36.07773664,-18.69144186
22,V-MR17,AZT21S02-C,B,574.8513577,596.1753521,585.5133549,1389.497997,1466.16491,1427.831453,29.0816234,36.07773664,-6.996113242
23,V-MR17,AZT21S02-C,C,933.8163462,851.6641805,892.7402633,2161.275981,2013.836415,2087.556198,29.95474694,36.07773664,-6.122989696
24,V-MR17,Water,A,2273.53116,2383.636531,2328.583846,0,0,0,100,,
25,CAT22S01-B,AZT21S02-C,A,798.8057488,747.9895257,773.3976373,1709.096222,1646.917275,1678.006749,31.54916593,30.65635938,0.89280655
26,CAT22S01-B,AZT21S02-C,B,470.9474246,501.8759569,486.4116908,1178.671309,1164.449886,1171.560598,29.33774552,30.65635938,-1.318613858
27,CAT22S01-B,AZT21S02-C,C,443.8171115,562.1962746,503.0066931,1186.168392,1421.938436,1304.053414,27.83563707,30.65635938,-2.820722306
28,CAT22S01-B,Water,A,311.1555159,581.9122548,446.5338854,0,0,0,100,,
29,CAT22S12-J,AZT21S02-C,A,391.9519521,494.5312633,443.2416077,968.5180224,1044.061138,1006.28958,30.57827326,29.85509559,0.723177679
30,CAT22S12-J,AZT21S02-C,B,708.2475381,661.3462793,684.7969087,1430.453898,1369.642593,1400.048246,32.84641583,29.85509559,2.991320242
31,CAT22S12-J,AZT21S02-C,C,28.7934199,39.53045855,34.16193923,644.6678456,516.3623617,580.5151036,5.557705404,29.85509559,-24.29739018
32,CAT22S12-J,Water,A,637.6793218,647.3253063,642.5023141,0,0,0,100,,
33,CAT22S16-A,AZT21S02-C,A,210.8283325,187.4828076,199.1555701,1259.65291,1251.712362,1255.682636,13.68919026,43.90532098,-30.21613071
34,CAT22S16-A,AZT21S02-C,B,15.39640275,27.59130919,21.49385597,515.7517518,554.2437045,534.9977282,3.862386527,43.90532098,-40.04293445
35,CAT22S16-A,AZT21S02-C,C,201.9990851,293.0726784,247.5358818,1432.05347,1214.743039,1323.398254,15.75724125,43.90532098,-28.14807972
36,CAT22S16-A,Water,A,730.8550652,723.7426388,727.298852,0,0,0,100,,
37,Water,AZT21S02-C,A,0,0,0,874.6934212,907.222973,890.9581971,0,,
38,Water,AZT21S02-C,B,0,0,0,521.7668945,625.8295874,573.7982409,0,,
39,Water,AZT21S02-C,C,0,0,0,836.3565185,761.4819078,798.9192132,0,,
