Vial#,Isolate1,Isolate2,Rep,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_flav,inoc_flav_percent,percent_change_flav,aflatoxin_ppb,type,percent_decrease_aflatoxin
1,EB01,AZT21S02-C,A,44008.14623,42677.24917,43342.6977,3319.648537,3574.059624,3446.854081,92.63328254,45.34845379,47.28482875,84800,competition,61.9047619
2,EB01,AZT21S02-C,B,49303.95451,53612.74312,51458.34881,27148.96696,28569.60655,27859.28676,64.87630203,45.34845379,19.52784824,31550,competition,85.82659479
3,EB01,AZT21S02-C,C,10453.9404,10225.7157,10339.82805,10191.62204,9996.43983,10094.03094,50.60144566,45.34845379,5.252991868,41000,competition,81.58131177
4,EB01,Water,A,386397.3444,377329.5592,381863.4518,0,0,0,100,,,222600,single,
5,DV901,AZT21S02-C,A,5281.284271,5522.168425,5401.726348,14167.84255,12844.07098,13505.95677,28.56894901,37.87745103,-9.308502024,31900,competition,87.46069182
6,DV901,AZT21S02-C,B,5254.653606,4994.910409,5124.782007,17575.45493,18051.60389,17813.52941,22.34158354,37.87745103,-15.53586749,17900,competition,92.96383648
7,DV901,AZT21S02-C,C,37851.53905,37124.55057,37488.04481,50214.8286,48348.38968,49281.60914,43.20409625,37.87745103,5.32664522,49550,competition,80.52279874
8,DV901,Water,A,215541.1512,214484.1752,215012.6632,0,0,0,100,,,254400,single,
9,BA12-J,AZT21S02-C,A,14700.19053,14576.44132,14638.31593,19612.10028,19538.12533,19575.1128,42.78529358,36.61034606,6.174947521,5560,competition,86.1
10,BA12-J,AZT21S02-C,B,25283.10597,22353.18608,23818.14602,25497.21424,22133.52042,23815.36733,50.00291675,36.61034606,13.39257069,1930,competition,95.175
11,BA12-J,AZT21S02-C,C,61145.13009,62732.46734,61938.79872,29204.14085,30019.38733,29611.76409,67.65528995,36.61034606,31.04494389,17880,competition,55.3
12,BA12-J,Water,A,47157.61294,45553.69851,46355.65572,0,0,0,100,,,40000,single,
13,SIL21M31-L,AZT21S02-C,A,69483.20129,67284.94258,68384.07194,25309.00986,25581.46247,25445.23617,72.88135585,36.99257695,35.88877891,17500,competition,80.55555556
14,SIL21M31-L,AZT21S02-C,B,15314.25604,15160.46366,15237.35985,27489.09011,27574.35,27531.72005,35.62704618,36.99257695,-1.365530764,15340,competition,82.95555556
15,SIL21M31-L,AZT21S02-C,C,13547.24277,14410.99876,13979.12076,35706.11546,36286.74063,35996.42805,27.97192046,36.99257695,-9.020656486,5380,competition,94.02222222
16,SIL21M31-L,Water,A,377364.9743,338251.2492,377364.9743,0,0,0,100,,,90000,single,
17,AF13,AZT21S02-C,A,5587.385372,5920.528734,5753.957053,33029.63513,33555.09818,33292.36665,14.73623252,38.79888048,-24.06264796,16550,competition,97.10259104
18,AF13,AZT21S02-C,B,15851.36967,16204.50115,16027.93541,31182.54533,32866.02696,32024.28614,33.3552433,38.79888048,-5.44363718,60600,competition,89.3907563
19,AF13,AZT21S02-C,C,3293.947307,3626.035063,3459.991185,19946.95616,19563.48448,19755.22032,14.90398304,38.79888048,-23.89489744,37300,competition,93.46988796
20,AF13,Water,A,229040.5644,229525.1169,229282.8406,0,0,0,100,,,571200,single,
21,V-MR17,AZT21S02-C,A,18332.72331,18772.81729,18552.7703,25816.96928,26722.33317,26269.65122,41.39171796,31.33128377,10.0604342,5650,competition,89.0503876
22,V-MR17,AZT21S02-C,B,11849.59863,11111.2919,11480.44526,17669.62047,17583.72809,17626.67428,39.44205213,31.33128377,8.110768363,2400,competition,95.34883721
23,V-MR17,AZT21S02-C,C,6507.437646,6337.264287,6422.350967,16583.44974,16861.20939,16722.32956,27.74871297,31.33128377,-3.582570801,6660,competition,87.09302326
24,V-MR17,Water,A,243304.4279,244123.0316,243713.7298,0,0,0,100,,,51600,single,
25,CAT22S01-B,AZT21S02-C,A,24800.61653,22063.86065,23432.23859,25934.33204,24087.56893,25010.95049,48.37055329,40.26472828,8.105825018,5.8,competition,
