Vial#,Isolate1,Isolate2,Rep,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_flav,inoc_flav_percent,percent_change_flav
1,EB01,AZT21S02-C,A,9492.295778,9792.651267,9642.473523,3889.630379,3985.200087,3937.415233,71.00554133,45.34845379,25.65708754
2,EB01,AZT21S02-C,B,5812.36731,5928.934269,5870.650789,5202.55711,5237.795063,5220.176087,52.93248966,45.34845379,7.584035872
3,EB01,AZT21S02-C,C,5917.397166,5654.189045,5785.793106,2673.327391,2565.484557,2619.405974,68.8358842,45.34845379,23.48743042
4,EB01,Water,A,12185.27788,11582.20051,11883.7392,0,0,0,100,,
5,DV901,AZT21S02-C,A,4457.91319,4635.221098,4546.567144,2998.583199,2969.707538,2984.145368,60.373665,37.87745103,22.49621397
6,DV901,AZT21S02-C,B,2975.257067,2982.672428,2978.964748,2481.124944,2459.909823,2470.517383,54.66509801,37.87745103,16.78764698
7,DV901,AZT21S02-C,C,3614.098624,3798.043341,3706.070982,2461.619854,2252.763058,2357.191456,61.12338069,37.87745103,23.24592966
8,DV901,Water,A,10406.80273,10434.17068,10420.4867,0,0,0,100,,
9,BA12-J,AZT21S02-C,A,2612.633679,2819.370097,2716.001888,2528.277643,2613.814282,2571.045962,51.37085884,36.61034606,14.76051278
10,BA12-J,AZT21S02-C,B,2304.872748,2557.056721,2430.964734,3707.354245,4014.573829,3860.964037,38.63624053,36.61034606,2.025894476
11,BA12-J,AZT21S02-C,C,1826.643082,1835.357475,1831.000278,1510.996512,1586.885574,1548.941043,54.17254634,36.61034606,17.56220028
12,BA12-J,Water,A,16578.9118,16470.91057,16524.91119,0,0,0,100,,
13,SIL21M31-L,AZT21S02-C,A,4320.684283,4458.417339,4389.550811,1904.759955,1995.745016,1950.252485,69.23796537,36.99257695,32.24538842
14,SIL21M31-L,AZT21S02-C,B,4760.762034,4976.282862,4868.522448,5544.792531,5571.726494,5558.259513,46.69247392,36.99257695,9.699896975
15,SIL21M31-L,AZT21S02-C,C,1614.67626,1524.784345,1569.730302,1791.327759,1762.860827,1777.094293,46.90207861,36.99257695,9.909501658
16,SIL21M31-L,Water,A,8107.130069,7904.598435,8107.130069,0,0,0,100,,
17,AF13,AZT21S02-C,A,4609.763446,4793.155084,4701.459265,4142.513418,4257.350028,4199.931723,52.81713017,38.79888048,14.01824969
18,AF13,AZT21S02-C,B,4988.308976,4921.067449,4954.688212,3853.683459,3990.401562,3922.042511,55.81658797,38.79888048,17.01770748
19,AF13,AZT21S02-C,C,3636.240234,3562.955787,3599.598011,3645.379888,3701.471482,3673.425685,49.49245543,38.79888048,10.69357494
20,AF13,Water,A,15294.18402,15530.26673,15412.22537,0,0,0,100,,
21,V-MR17,AZT21S02-C,A,4555.322142,4268.089201,4411.705672,2929.780678,2749.392564,2839.586621,60.8402681,31.33128377,29.50898433
22,V-MR17,AZT21S02-C,B,2757.887598,2836.658099,2797.272849,2653.070503,2619.611011,2636.340757,51.48089378,31.33128377,20.14961001
23,V-MR17,AZT21S02-C,C,3612.201072,3433.250826,3522.725949,2594.265461,2549.01628,2571.64087,57.80298518,31.33128377,26.47170141
24,V-MR17,Water,A,16836.2339,16615.66525,16725.94958,0,0,0,100,,
25,CAT22S01-B,AZT21S02-C,A,6371.559232,6539.077528,6455.31838,4661.087895,4812.897823,4736.992859,57.67636587,40.26472828,17.4116376
26,CAT22S01-B,AZT21S02-C,B,4676.88873,4762.55417,4719.72145,3098.921405,3487.632122,3293.276764,58.90081745,40.26472828,18.63608917
27,CAT22S01-B,AZT21S02-C,C,2808.452838,2799.362636,2803.907737,2658.835922,2742.059262,2700.447592,50.93980257,40.26472828,10.67507429
28,CAT22S01-B,Water,A,10828.10563,11354.77968,11091.44266,0,0,0,100,,
29,CAT22S12-J,AZT21S02-C,A,3094.32652,3163.298301,3128.81241,4036.72455,4047.712933,4042.218742,43.63127623,36.74358133,6.887694894
30,CAT22S12-J,AZT21S02-C,B,523.2394323,601.5164856,562.3779589,530.3812261,526.9991817,528.6902039,51.543797,36.74358133,14.80021566
31,CAT22S12-J,AZT21S02-C,C,5121.178113,5140.925969,5131.052041,5739.815547,6031.646255,5885.730901,46.57486735,36.74358133,9.831286013
32,CAT22S12-J,Water,A,6529.229568,6532.69724,6530.963404,0,0,0,100,,
33,CAT22S16-A,AZT21S02-C,A,4432.329326,4423.21102,4427.770173,3283.960399,3139.415925,3211.688162,57.9592162,37.96031486,19.99890134
34,CAT22S16-A,AZT21S02-C,B,4399.947703,4237.194017,4318.57086,6568.92214,6338.316967,6453.619553,40.08999743,37.96031486,2.129682569
35,CAT22S16-A,AZT21S02-C,C,4093.166792,4085.042257,4089.104524,3068.46185,2903.093932,2985.777891,57.79749096,37.96031486,19.8371761
36,CAT22S16-A,Water,A,15732.93454,15918.91099,15825.92276,0,0,0,100,,
37,Water,AZT21S02-C,A,0,0,0,3031.16631,3202.788548,3116.977429,0,,
38,Water,AZT21S02-C,B,0,0,0,2999.435855,2978.418293,2988.927074,0,,
39,Water,AZT21S02-C,C,0,0,0,2089.127064,2225.732792,2157.429928,0,,
