Vial#,Isolate1,Isolate2,Rep,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_flav,inoc_flav_percent,percent_change_flav,aflatoxin_ppb,type,percent_decrease_aflatoxin
1,EB01,AZT21S02-C,A,18252.86337,17765.81257,18009.33797,19623.25172,19096.00617,19359.62894,48.19329903,55.7840311,-7.590732073,69400,competition,75.01799856
2,EB01,AZT21S02-C,B,52705.9363,53664.28603,53185.11117,36122.25646,37419.59462,36770.92554,59.12344865,55.7840311,3.339417542,114600,competition,58.74730022
3,EB01,AZT21S02-C,C,32228.4449,33256.90359,32742.67424,9048.21892,9537.557795,9292.888358,77.89279414,55.7840311,22.10876304,81400,competition,70.69834413
4,EB01,Water,A,92198.48036,97604.95276,94901.71656,0,0,0,100,,,277800,single,
5,DV901,AZT21S02-C,A,19659.26971,20815.97346,20237.62158,17912.60754,18166.25866,18039.4331,52.87141801,59.52042531,-6.649007303,75600,competition,69.19315403
6,DV901,AZT21S02-C,B,20746.31387,21594.99666,21170.65526,17614.02447,18471.88331,18042.95389,53.98803048,59.52042531,-5.53239483,98700,competition,59.7799511
7,DV901,AZT21S02-C,C,46827.86121,44881.796,45854.82861,47318.15772,44138.3165,45728.23711,50.06911294,59.52042531,-9.451312375,107800,competition,56.07171964
8,DV901,Water,A,46498.90682,46928.67468,46713.79075,0,0,0,100,,,245400,single,
9,BA12-J,AZT21S02-C,A,73273.70508,71970.28625,72621.99567,13586.96733,13249.65656,13418.31195,84.40462114,45.29947216,39.10514898,13200,competition,62.28571429
10,BA12-J,AZT21S02-C,B,72661.20017,71617.50733,72139.35375,15760.37578,15545.22055,15652.79817,82.17061796,45.29947216,36.8711458,15020,competition,57.08571429
11,BA12-J,AZT21S02-C,C,49192.49559,49052.75949,49122.62754,24005.35613,25007.62044,24506.48828,66.7163078,45.29947216,21.41683564,15080,competition,56.91428571
12,BA12-J,Water,A,99288.86649,97836.49488,98562.68069,0,0,0,100,,,35000,single,
13,SIL21M31-L,AZT21S02-C,A,77884.95932,89660.25419,83772.60675,7640.513356,8821.648233,8231.080795,91.05353164,57.71294188,33.34058976,52500,competition,68.06569343
14,SIL21M31-L,AZT21S02-C,B,23350.33493,24543.53217,23946.93355,7762.979729,8389.956588,8076.468159,74.77948086,57.71294188,17.06653897,65600,competition,60.0973236
15,SIL21M31-L,AZT21S02-C,C,52861.07077,54082.39287,53471.73182,15223.69143,15973.92311,15598.80727,77.41612057,57.71294188,19.70317869,72800,competition,55.71776156
16,SIL21M31-L,Water,A,131517.1734,133021.6282,131517.1734,0,0,0,100,,,164400,single,
17,AF13,AZT21S02-C,A,52903.71981,50540.81096,51722.26538,44716.92913,42409.4551,43563.19211,54.28138432,48.49795096,5.783433361,53900,competition,92.66067538
18,AF13,AZT21S02-C,B,18803.34832,17775.15409,18289.25121,59622.43489,53267.6712,56445.05304,24.47236432,48.49795096,-24.02558664,61500,competition,91.62581699
19,AF13,AZT21S02-C,C,13148.73095,12341.22509,12744.97802,10482.57863,10189.91465,10336.24664,55.21794535,48.49795096,6.719994395,154800,competition,78.92156863
20,AF13,Water,A,62065.5438,59918.03864,60991.79122,0,0,0,100,,,734400,single,
