Vial#,Isolate1,Isolate2,Rep,qPCR_flav_FAM_1,qPCR_flav_FAM_2,avg_flav,qPCR_tam_HEX_1,qPCR_tam_HEX_2,avg_tam,percent_flav,inoc_flav_percent,percent_change_flav
1,EB01,AZT21S02-C,A,822.528006,823.8628645,823.1954352,927.8991138,975.6844394,951.7917766,46.37754175,55.7840311,-9.406489355
2,EB01,AZT21S02-C,B,1010.522561,1035.95757,1023.240065,562.2020845,563.5885375,562.895311,64.51152156,55.7840311,8.727490455
3,EB01,AZT21S02-C,C,412.9870091,481.1100548,447.048532,299.3605174,297.137953,298.2492352,59.98254009,55.7840311,4.198508983
4,EB01,Water,A,719.7227591,657.7427661,688.7327626,0,0,0,100,,
5,DV901,AZT21S02-C,A,709.2295813,697.1103523,703.1699668,275.7452605,290.2550374,283.0001489,71.30311044,59.52042531,11.78268513
6,DV901,AZT21S02-C,B,1143.375538,1036.759287,1090.067413,1084.642221,1069.151732,1076.896977,50.30389138,59.52042531,-9.21653393
7,DV901,AZT21S02-C,C,1226.106415,1220.836777,1223.471596,650.0552673,712.741509,681.3983881,64.22861435,59.52042531,4.708189041
8,DV901,Water,A,245.5899538,243.6388083,244.6143811,0,0,0,100,,
9,BA12-J,AZT21S02-C,A,54.94013003,34.19599936,44.56806469,485.5228391,527.8918455,506.7073423,8.08453708,45.29947216,-37.21493508
10,BA12-J,AZT21S02-C,B,292.5262806,294.2158141,293.3710473,344.2340253,341.8659953,343.0500103,46.09700509,45.29947216,0.797532937
11,BA12-J,AZT21S02-C,C,116.5582723,128.1461979,122.3522351,184.3383361,201.7369132,193.0376247,38.79396604,45.29947216,-6.505506115
12,BA12-J,Water,A,104.9934394,61.42819171,83.21081558,0,0,0,100,,
13,SIL21M31-L,AZT21S02-C,A,863.535535,870.0873854,866.8114602,466.0636073,441.8604678,453.9620376,65.62907733,57.71294188,7.916135446
14,SIL21M31-L,AZT21S02-C,B,663.9133062,562.6884809,613.3008936,475.5623206,433.7602393,454.6612799,57.42721126,57.71294188,-0.285730623
15,SIL21M31-L,AZT21S02-C,C,808.2436183,791.988278,800.1159482,274.8398767,287.4780727,281.1589747,73.99745719,57.71294188,16.28451531
16,SIL21M31-L,Water,A,2391.299701,2308.13001,2391.299701,0,0,0,100,,
17,AF13,AZT21S02-C,A,368.840024,433.347511,401.0937675,301.9654538,307.4643886,304.7149212,56.82754745,48.49795096,8.329596494
18,AF13,AZT21S02-C,B,288.2607436,242.3386714,265.2997075,1129.77566,1055.188205,1092.481932,19.53920275,48.49795096,-28.95874821
19,AF13,AZT21S02-C,C,1746.231489,1688.054283,1717.142886,1281.38562,1108.567867,1194.976744,58.96539649,48.49795096,10.46744553
20,AF13,Water,A,1417.504531,1335.221089,1376.36281,0,0,0,100,,
21,V-MR17,AZT21S02-C,A,653.5542352,686.3818968,669.968066,520.7340409,532.5845544,526.6592977,55.98802822,48.97976356,7.00826465
22,V-MR17,AZT21S02-C,B,2869.375995,2295.210587,2582.293291,192.8924332,161.3065068,177.09947,93.58194047,48.97976356,44.60217691
23,V-MR17,AZT21S02-C,C,1038.694576,1007.652698,1023.173637,381.3552405,436.6965544,409.0258975,71.44071845,48.97976356,22.46095488
24,V-MR17,Water,A,1726.458182,1846.619123,1786.538652,0,0,0,100,,
25,CAT22S01-B,AZT21S02-C,A,1071.719574,1197.433535,1134.576555,489.1101352,450.8471465,469.9786409,70.70972428,48.15705762,22.55266666
26,CAT22S01-B,AZT21S02-C,B,1491.507324,1621.178892,1556.343108,369.3579487,395.4089173,382.383433,80.27656686,48.15705762,32.11950924
27,CAT22S01-B,AZT21S02-C,C,1179.088789,1185.141489,1182.115139,699.2297649,774.4087894,736.8192772,61.60268579,48.15705762,13.44562817
28,CAT22S01-B,Water,A,2015.55421,2062.597851,2039.076031,0,0,0,100,,
29,CAT22S12-J,AZT21S02-C,A,1478.369883,1398.317695,1438.343789,516.6627271,520.9902461,518.8264866,73.49098885,53.53196626,19.95902259
30,CAT22S12-J,AZT21S02-C,B,417.8857259,342.6053076,380.2455168,441.1469712,444.5675109,442.8572411,46.19660342,53.53196626,-7.335362837
31,CAT22S12-J,AZT21S02-C,C,1161.029039,1180.593971,1170.811505,691.6848683,753.5817029,722.6332856,61.8349957,53.53196626,8.303029448
32,CAT22S12-J,Water,A,1163.012607,1135.891625,1149.452116,0,0,0,100,,
33,CAT22S16-A,AZT21S02-C,A,494.1683465,574.2869418,534.2276441,1182.355233,1205.398971,1193.877102,30.91407771,53.72255634,-22.80847863
34,CAT22S16-A,AZT21S02-C,B,1106.49673,1198.493853,1152.495291,716.1754848,796.7660187,756.4707518,60.37274972,53.72255634,6.650193375
35,CAT22S16-A,AZT21S02-C,C,1549.868077,1402.020037,1475.944057,656.2822552,637.0450431,646.6636491,69.53447181,53.72255634,15.81191547
36,CAT22S16-A,Water,A,3136.34163,2964.677286,3050.509458,0,0,0,100,,
37,Water,AZT21S02-C,A,0,0,0,240.2657158,131.4838004,185.8747581,0,,
38,Water,AZT21S02-C,B,0,0,0,605.6794479,576.0301891,590.8548185,0,,
39,Water,AZT21S02-C,C,0,0,0,871.0764825,762.8583868,816.9674346,0,,
